datetime,wdLoad,temp,rh,block,hour,day,day_type,week_month,week_year,month
2022-01-01 00:00:00,216.9365864,24.78,68.74,1,1,5,1,1,52,1
2022-01-01 00:15:00,215.0262032,24.76,67.82,2,1,5,1,1,52,1
2022-01-01 00:30:00,215.1736512,24.72,68.2,3,1,5,1,1,52,1
2022-01-01 00:45:00,214.1748448,24.48,69.14,4,1,5,1,1,52,1
2022-01-01 01:00:00,212.2237088,24.34,69.98,5,2,5,1,1,52,1
2022-01-01 01:15:00,209.004104,24.16,69.9,6,2,5,1,1,52,1
2022-01-01 01:30:00,205.9435816,24.06,70.32,7,2,5,1,1,52,1
2022-01-01 01:45:00,203.6940024,23.94,70.34,8,2,5,1,1,52,1
2022-01-01 02:00:00,201.7152104,23.9,69.86,9,3,5,1,1,52,1
2022-01-01 02:15:00,199.6645344,23.88,70.22,10,3,5,1,1,52,1
2022-01-01 02:30:00,196.8019264,23.96,68.8,11,3,5,1,1,52,1
2022-01-01 02:45:00,196.116004,24.1,66.9,12,3,5,1,1,52,1
2022-01-01 03:00:00,196.4372968,24.08,66.06,13,4,5,1,1,52,1
2022-01-01 03:15:00,196.811572,24.12,65.46,14,4,5,1,1,52,1
2022-01-01 03:30:00,196.158756,24.08,65.44,15,4,5,1,1,52,1
2022-01-01 03:45:00,194.7227768,24.12,65.24,16,4,5,1,1,52,1
2022-01-01 04:00:00,194.1152568,24.16,65.24,17,5,5,1,1,52,1
2022-01-01 04:15:00,193.5016168,24.1,65.54,18,5,5,1,1,52,1
2022-01-01 04:30:00,192.1777984,24.04,66.24,19,5,5,1,1,52,1
2022-01-01 04:45:00,191.5390416,23.96,67.06,20,5,5,1,1,52,1
2022-01-01 05:00:00,192.1383776,23.82,68.02,21,6,5,1,1,52,1
2022-01-01 05:15:00,192.3347064,23.72,68.78,22,6,5,1,1,52,1
2022-01-01 05:30:00,192.8040416,23.64,69.22,23,6,5,1,1,52,1
2022-01-01 05:45:00,194.4036088,23.64,70.0,24,6,5,1,1,52,1
2022-01-01 06:00:00,197.5227328,23.52,70.26,25,7,5,1,1,52,1
